"sample_id","ancester","regime1","Evorepnested","temp","Pop","Biorep","Evoltemp","Evol","Year","Biorepnested"
"Sample_01_17-1",1,"A","a",17,"A01_a_17","o1","A01_17","A01",2016,1
"Sample_01_17-2",1,"A","a",17,"A01_a_17","o2","A01_17","A01",2016,2
"Sample_01_23-4",1,"A","a",23,"A01_a_23","o4","A01_23","A01",2016,3
"Sample_01_23-5",1,"A","a",23,"A01_a_23","o5","A01_23","A01",2016,4
"Sample_11F_17-1_n",1,"F","a",17,"01F_a_17_n","n1","01F_17","01F",2023,1
"Sample_11F_17-4_n",1,"F","a",17,"01F_a_17_n","n4","01F_17","01F",2023,2
"Sample_11F_23-2_n",1,"F","a",23,"01F_a_23_n","n2","01F_23","01F",2023,3
"Sample_11F_23-4_n",1,"F","a",23,"01F_a_23_n","n4b","01F_23","01F",2023,4
"Sample_12F_17-1",1,"F","b",17,"01F_b_17","o1","01F_17","01F",2016,1
"Sample_12F_17-2",1,"F","b",17,"01F_b_17","o2","01F_17","01F",2016,2
"Sample_12F_23-4",1,"F","b",23,"01F_b_23","o4","01F_23","01F",2016,3
"Sample_12F_23-5",1,"F","b",23,"01F_b_17","o5","01F_17","01F",2016,4
"Sample_13F_17-1",1,"F","c",17,"01F_c_17","o1","01F_17","01F",2016,1
"Sample_13F_17-2",1,"F","c",17,"01F_c_17","o2","01F_17","01F",2016,2
"Sample_13F_23-4",1,"F","c",23,"01F_c_23","o4","01F_23","01F",2016,3
"Sample_13F_23-5",1,"F","c",23,"01F_c_23","o5","01F_23","01F",2016,4
"Sample_44_17-1",44,"A","a",17,"44A_a_17","o1","44A_17","44A",2016,1
"Sample_44_17-2",44,"A","a",17,"44A_a_17","o2","44A_17","44A",2016,2
"Sample_44_23-4",44,"A","a",23,"44A_a_23","o4","44A_23","44A",2016,3
"Sample_44_23-5",44,"A","a",23,"44A_a_23","o5","44A_23","44A",2016,4
"Sample_441F_17-1",44,"F","a",17,"44F_a_17","o1","44F_17","44F",2016,1
"Sample_441F_17-2",44,"F","a",17,"44F_a_17","o2","44F_17","44F",2016,2
"Sample_441F_23-4",44,"F","a",23,"44F_a_23","o4","44F_23","44F",2016,3
"Sample_441F_23-5",44,"F","a",23,"44F_a_23","o5","44F_23","44F",2016,4
"Sample_442F_17-4_n",44,"F","b",17,"44F_b_17_n","n4","44F_17","44F",2023,1
"Sample_442F_23-2_n",44,"F","b",23,"44F_b_23_n","n2","44F_23","44F",2023,2
"Sample_442F_23-4_n",44,"F","b",23,"44F_b_23_n","n4b","44F_23","44F",2023,4
"Sample_443F_17-1",44,"F","c",17,"44F_c_17","o1","44F_17","44F",2016,1
"Sample_443F_17-2",44,"F","c",17,"44F_c_17","o2","44F_17","44F",2016,2
"Sample_443F_23-4",44,"F","c",23,"44F_c_23","o4","44F_23","44F",2016,3
"Sample_443F_23-5",44,"F","c",23,"44F_c_23","o5","44F_23","44F",2016,4
"Sample_1117_17-1_n",1,"S17","a",17,"01S17_a_17_n","n1","01S17_17","01S17",2023,1
"Sample_1117_17-4_n",1,"S17","a",17,"01S17_a_17_n","n4","01S17_17","01S17",2023,2
"Sample_1117_23-2_n",1,"S17","a",23,"01S17_a_23_n","n2","01S17_23","01S17",2023,3
"Sample_1117_23-4_n",1,"S17","a",23,"01S17_a_23_n","n4b","01S17_23","01S17",2023,4
"Sample_1123_17-1",1,"S23","a",17,"01S23_a_17","o1","01S23_17","01S23",2016,1
"Sample_1123_17-2",1,"S23","a",17,"01S23_a_17","o2","01S23_17","01S23",2016,2
"Sample_1123_23-4",1,"S23","a",23,"01S23_a_23","o4","01S23_23","01S23",2016,3
"Sample_1123_23-5",1,"S23","a",23,"01S23_a_23","o5","01S23_23","01S23",2016,4
"Sample_1217_17-1",1,"S17","b",17,"01S17_b_17","o1","01S17_17","01S17",2016,1
"Sample_1217_17-2",1,"S17","b",17,"01S17_b_17","o2","01S17_17","01S17",2016,2
"Sample_1217_23-4",1,"S17","b",23,"01S17_b_23","o4","01S17_23","01S17",2016,3
"Sample_1217_23-5",1,"S17","b",23,"01S17_b_23","o5","01S17_23","01S17",2016,4
"Sample_1223_17-1_n",1,"S23","b",17,"01S23_b_17_n","n1","01S23_17","01S23",2023,1
"Sample_1223_17-4_n",1,"S23","b",17,"01S23_b_17_n","n4","01S23_17","01S23",2023,2
"Sample_1223_23-2_n",1,"S23","b",23,"01S23_b_23_n","n2","01S23_23","01S23",2023,3
"Sample_1223_23-4_n",1,"S23","b",23,"01S23_b_23_n","n4b","01S23_23","01S23",2023,4
"Sample_1317_17-1_n",1,"S17","c",17,"01S17_c_17_n","n1","01S17_17","01S17",2023,1
"Sample_1317_17-4_n",1,"S17","c",17,"01S17_c_17_n","n4","01S17_17","01S17",2023,2
"Sample_1317_23-2_n",1,"S17","c",23,"01S17_c_23_n","n2","01S17_23","01S17",2023,3
"Sample_1317_23-4_n",1,"S17","c",23,"01S17_c_23_n","n4b","01S17_23","01S17",2023,4
"Sample_1323_17-1_n",1,"S23","c",17,"01S23_c_17_n","n1","01S23_17","01S23",2023,1
"Sample_1323_17-4_n",1,"S23","c",17,"01S23_c_17_n","n4","01S23_17","01S23",2023,2
"Sample_1323_23-2_n",1,"S23","c",23,"01S23_c_23_n","n2","01S23_23","01S23",2023,3
"Sample_1323_23-4_n",1,"S23","c",23,"01S23_c_23_n","n4b","01S23_23","01S23",2023,4
"Sample_44117_17-1",44,"S17","a",17,"44S17_a_17","o1","44S17_17","44S17",2016,1
"Sample_44117_17-2",44,"S17","a",17,"44S17_a_17","o2","44S17_17","44S17",2016,2
"Sample_44117_23-4",44,"S17","a",23,"44S17_a_23","o4","44S17_23","44S17",2016,3
"Sample_44117_23-5",44,"S17","a",23,"44S17_a_23","o5","44S17_23","44S17",2016,4
"Sample_44123_17-1_n",44,"S23","a",17,"44S23_a_17_n","n1","44S23_17","44S23",2023,1
"Sample_44123_17-4_n",44,"S23","a",17,"44S23_a_17_n","n4","44S23_17","44S23",2023,2
"Sample_44123_23-2_n",44,"S23","a",23,"44S23_a_23_n","n2","44S23_23","44S23",2023,3
"Sample_44123_23-4_n",44,"S23","a",23,"44S23_a_23_n","n4b","44S23_23","44S23",2023,4
"Sample_44217_17-1_n",44,"S17","b",17,"44S17_b_17_n","n1","44S17_17","44S17",2023,1
"Sample_44217_17-4_n",44,"S17","b",17,"44S17_b_17_n","n4","44S17_17","44S17",2023,2
"Sample_44217_23-4_n",44,"S17","b",23,"44S17_b_23_n","n4b","44S17_23","44S17",2023,4
"Sample_44223_17-1_n",44,"S23","b",17,"44S23_b_17_n","n1","44S23_17","44S23",2023,1
"Sample_44223_17-4_n",44,"S23","b",17,"44S23_b_17_n","n4","44S23_17","44S23",2023,2
"Sample_44223_23-2_n",44,"S23","b",23,"44S23_b_23_n","n2","44S23_23","44S23",2023,3
"Sample_44223_23-4_n",44,"S23","b",23,"44S23_b_23_n","n4b","44S23_23","44S23",2023,4
"Sample_44323_17-1",44,"S23","c",17,"44S23_c_17","o1","44S23_17","44S23",2016,1
"Sample_44323_17-2",44,"S23","c",17,"44S23_c_17","o2","44S23_17","44S23",2016,2
"Sample_44323_23-4",44,"S23","c",23,"44S23_c_23","o4","44S23_23","44S23",2016,3
"Sample_44323_23-5",44,"S23","c",23,"44S23_c_23","o5","44S23_23","44S23",2016,4
"Sample_1MGGP01_17-1_n",1,"A","b",17,"01A_b_17_n","n1","A01_17","A01",2023,1
"Sample_1MGGP01_23-2_n",1,"A","b",23,"01A_b_23_n","n2","A01_23","A01",2023,2
"Sample_1MGGP01_23-4_n",1,"A","b",23,"01A_b_23_n","n4b","A01_23","A01",2023,4
"Sample_44MGGP44_23-2_n",44,"A","b",23,"44A_b_23_n","n2","44A_23","44A",2023,3
"Sample_44MGGP44_23-4_n",44,"A","b",23,"44A_b_23_n","n4b","44A_23","44A",2023,4
